Executed time, 2021-10-29 21:43:35.106708
1, 0
2, 25.49944
3, 1.38373
4, 1.280212
5, 1.191919
6, 0.930719
7, 0.830487
8, 0.916117
9, 1.023172
10, 1.315362
11, 1.096871
12, 0.955938
13, 0.970226
14, 1.177828
15, 1.352772
16, 1.206096
17, 0.823524
18, 0.846386
19, 0.862177
20, 0.973805
21, 1.018197
22, 1.082524
23, 0.940981
24, 0.743044
25, 0.82729
26, 1.941442
27, 9.869951
28, 0.931474
29, 1.04958
30, 1.098687
31, 1.021088
32, 0.863413
33, 0.840969
34, 0.992331
35, 1.089197
36, 1.137795
37, 0.94178
38, 0.842674
39, 0.860175
40, 0.997963
41, 1.148875
42, 1.121447
43, 0.943843
44, 0.80974
45, 0.808099
46, 0.836844
47, 0.9564
48, 0.982872
49, 1.035035
50, 0.61788
51, 0.668538
52, 0.692861
53, 0.744206
54, 0.82148
55, 0.963776
56, 1.043168
57, 0.987922
58, 0.680404
59, 0.736841
60, 0.775821
61, 0.912132
62, 1.107094
63, 1.146442
64, 0.949792
65, 0.835914
66, 0.881359
67, 0.996776
68, 1.109362
69, 1.309629
70, 0.781923
71, 0.840805
72, 0.951905
73, 1.07727
74, 1.278415
75, 1.06173
76, 0.844202
77, 0.961917
78, 0.821446
79, 1.063938
80, 1.124626
81, 1.01512
82, 0.824865
83, 0.793565
84, 0.810949
85, 0.963731
86, 1.039964
87, 1.063461
88, 0.908717
89, 0.767489
90, 0.755105
91, 0.779805
92, 0.907157
93, 1.015104
94, 1.050551
95, 0.949747
96, 0.83032
97, 0.844732
98, 0.96753
99, 1.087308
100, 1.143137
101, 1.011267
102, 0.824895
103, 0.930276
104, 1.025594
105, 1.187009
106, 1.149152
107, 0.908161
108, 0.842641
109, 0.970844
110, 1.085981
111, 1.178203
112, 1.034877
113, 0.878795
114, 0.919456
115, 1.050936
116, 1.196339
117, 1.182783
118, 1.004216
119, 0.876301
120, 0.950066
121, 1.167368
122, 2.427781
123, 2.69795
124, 3.925465
125, 3.516232
126, 3.640236
127, 4.226048
128, 3.823721
129, 3.31835
130, 4.248492
131, 3.023467
132, 4.019173
133, 3.400914
134, 3.564104
135, 4.291139
136, 2.690268
137, 2.374735
138, 1.519937
139, 0.790827
140, 0.839079
141, 0.891486
142, 0.927142
143, 0.952244
144, 0.86895
145, 0.819354
146, 0.906275
147, 0.973579
148, 1.012251
149, 1.013877
150, 0.938925
151, 0.85335
152, 0.870915
153, 0.922418
154, 0.991979
155, 1.028999
156, 1.061304
157, 1.122187
158, 0.920349
159, 1.056818
160, 1.130697
161, 1.19546
162, 1.123468
163, 1.089528
164, 0.945713
165, 1.141764
166, 1.195601
167, 1.201159
168, 0.981316
169, 1.072546
170, 1.175471
171, 1.178168
172, 1.295188
173, 1.886567
174, 1.187539
