Executed time, 2021-10-30 01:07:46.080983
1, 0
2, 18.518351
3, 1.291776
4, 1.444397
5, 1.499638
6, 1.671493
7, 3.446065
8, 2.969452
9, 7.118622
10, 5.876214
11, 1.549568
12, 1.605105
13, 1.565924
14, 1.293867
15, 1.426098
16, 1.683572
17, 1.522112
18, 1.397013
19, 1.190559
20, 1.513717
21, 1.561885
22, 2.07793
23, 1.170346
24, 1.457171
25, 1.567297
26, 1.416231
27, 1.409256
28, 1.552529
29, 1.530917
30, 1.285583
31, 1.59797
32, 2.465333
33, 3.304305
34, 1.439328
35, 1.279171
36, 1.22498
37, 1.226185
38, 1.536986
39, 1.950783
40, 4.423495
41, 1.53352
42, 1.228613
43, 1.191566
44, 1.220764
45, 1.2703
46, 1.869839
47, 1.386432
48, 1.288135
49, 1.509648
50, 1.751232
51, 1.963767
52, 1.840818
53, 2.014881
54, 2.314307
55, 2.123636
56, 2.00259
57, 2.358735
58, 2.014805
59, 2.339799
60, 2.617772
61, 2.193882
62, 2.587096
63, 2.719084
64, 2.846094
65, 2.81613
66, 3.267563
67, 3.508343
68, 4.504675
69, 12.748045
70, 4.187265
71, 4.513058
72, 3.064646
73, 5.571361
74, 5.68116
75, 6.180885
76, 6.648919
77, 7.614566
78, 8.6346
79, 8.918628
80, 2.422235
81, 2.520345
82, 2.615026
83, 2.444913
84, 2.033778
85, 2.334864
86, 1.792984
87, 1.813077
88, 2.059439
89, 3.85668
90, 1.915671
91, 1.854459
92, 1.673075
93, 1.792947
94, 3.29591
95, 1.589982
96, 1.770849
97, 2.989057
98, 1.640959
99, 1.587608
100, 1.34594
101, 1.477116
102, 1.612149
103, 1.466418
104, 1.204747
105, 1.300926
106, 1.464353
107, 1.440959
108, 2.670117
109, 1.401676
110, 1.59591
111, 1.628633
112, 1.330039
113, 1.568683
114, 1.747922
115, 1.404691
116, 1.603157
117, 1.69529
118, 1.679232
119, 1.601637
120, 1.93398
121, 1.90895
122, 1.666053
123, 1.945465
124, 2.135566
125, 2.096434
126, 3.843668
127, 3.077173
128, 4.053315
129, 4.447264
130, 3.704297
131, 3.772214
132, 4.206948
133, 4.226593
134, 3.06237
135, 4.394689
136, 3.559871
137, 3.835352
138, 3.082122
139, 1.080157
140, 1.083723
141, 1.05183
142, 0.943556
143, 0.860097
144, 2.049235
145, 1.269028
146, 1.291167
147, 1.296975
148, 1.326797
149, 1.905858
150, 1.683547
151, 1.131267
152, 1.031891
153, 1.175258
154, 1.159863
155, 1.320659
156, 1.49078
157, 1.854019
158, 2.002911
159, 2.101244
160, 1.94173
161, 2.073341
162, 1.911927
163, 2.408297
164, 2.566944
165, 2.619418
166, 2.660663
167, 2.719576
168, 2.758485
169, 2.777857
170, 3.133604
171, 5.93611
1, 0
2, 3.814789
3, 73.417024
4, 4.929939
5, 4.815578
6, 4.222945
7, 5.202495
8, 4.571405
9, 4.715295
10, 4.757103
11, 4.934683
12, 4.274792
13, 3.664676
14, 5.059265
15, 4.486522
16, 4.40289
17, 4.302639
18, 4.685098
19, 4.715379
20, 4.883404
21, 2.849214
22, 1.728432
23, 17.723
24, 4.685316
25, 4.854148
26, 4.462889
27, 3.438525
28, 4.913893
29, 4.501345
30, 4.136927
31, 4.328894
32, 4.808737
33, 4.80145
34, 4.978525
35, 3.768483
36, 4.788217
37, 8.907957
38, 4.33129
39, 2.938923
40, 1.869645
41, 2.969066
42, 1.964578
43, 2.391125
44, 2.692794
45, 2.220033
46, 2.641033
47, 2.297688
48, 1.753275
49, 1.960202
50, 2.076977
51, 3.348604
52, 3.884799
53, 7.382337
54, 8.381294
55, 8.449385
56, 8.713899
57, 6.174845
58, 6.207266
59, 4.550539
60, 5.218341
61, 6.126372
62, 4.566877
63, 9.264799
64, 18.199448
