Executed time, 2021-10-29 22:25:41.290830
1, 0
2, 1.179355
3, 1.090016
4, 1.014096
5, 1.268235
6, 1.82448
7, 15.788969
8, 1.113849
9, 1.049957
10, 0.998657
11, 1.641361
12, 3.297175
13, 1.082311
14, 1.076526
15, 1.206345
16, 1.897027
17, 0.489039
18, 2.924142
19, 1.098822
20, 1.02223
21, 1.002144
22, 1.034342
23, 1.080335
24, 1.153473
25, 1.068528
26, 0.989823
27, 1.031398
28, 1.100206
29, 1.197976
30, 1.0611
31, 0.958629
32, 1.038695
33, 1.109756
34, 1.201268
35, 1.022795
36, 0.981315
37, 1.053614
38, 1.118739
39, 1.159517
40, 1.151627
41, 1.002278
42, 1.033509
43, 1.049794
44, 1.142618
45, 1.189457
46, 1.081441
47, 0.856343
48, 0.962431
49, 1.015128
50, 1.108669
51, 1.066623
52, 0.957212
53, 0.991746
54, 1.07836
55, 1.111351
56, 1.846209
57, 0.508029
58, 4.656233
59, 0.967493
60, 0.905109
61, 1.032251
62, 1.112103
63, 1.142941
64, 0.905162
65, 0.937462
66, 1.014224
67, 1.069519
68, 1.074962
69, 0.985314
70, 0.944931
71, 1.002113
72, 0.982266
73, 0.989714
74, 1.206946
75, 0.984588
76, 0.873127
77, 0.945742
78, 0.978069
79, 1.085319
80, 1.10546
81, 0.959807
82, 1.009573
83, 1.038401
84, 1.034575
85, 1.024696
86, 1.03598
87, 0.993122
88, 1.000687
89, 0.990036
90, 1.158758
91, 1.076231
92, 0.981803
93, 1.014393
94, 1.021338
95, 1.096145
96, 1.030168
97, 0.932412
98, 0.99829
99, 1.019635
100, 1.108921
101, 1.156622
102, 0.87645
103, 0.9014
104, 1.008846
105, 0.969999
106, 1.0711
107, 1.069483
108, 1.248798
109, 0.94618
110, 0.969191
111, 1.058036
112, 0.974622
113, 1.064872
114, 0.987992
115, 0.958718
116, 1.03755
117, 1.118157
118, 1.127491
119, 0.977231
120, 1.030291
121, 1.094336
122, 1.145582
123, 1.229438
124, 1.09301
125, 1.089933
126, 1.266668
127, 1.450691
128, 1.255281
129, 1.219314
130, 1.306762
131, 1.65263
132, 1.437618
133, 1.417004
134, 1.77489
135, 3.458432
136, 3.626328
137, 3.373291
138, 4.130463
139, 3.688916
140, 1.781905
141, 1.925552
142, 2.145237
143, 1.68584
144, 2.003506
145, 2.370276
146, 1.832146
147, 2.037465
148, 2.210288
149, 1.614086
150, 1.407952
151, 1.475839
152, 1.285664
153, 1.208038
154, 1.341748
155, 1.491764
156, 1.484443
157, 1.326187
158, 1.438309
159, 1.64066
160, 1.475984
161, 2.053057
162, 6.240263
163, 1.481445
164, 1.177911
165, 1.228622
166, 1.299407
167, 1.395944
168, 1.303531
169, 1.143575
170, 1.146288
171, 1.276507
172, 1.363578
173, 1.31307
174, 1.066288
175, 1.109105
176, 1.292329
177, 1.332023
178, 1.122054
179, 1.176125
180, 1.230552
181, 1.302503
182, 1.258647
183, 2.269049
